Title,Description,Rating,Rating Count,Genre,Duration
Gisaengchung,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,8.5,1013988,"Drama, Thriller",PT2H12M
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,1698408,"Action, Adventure, Drama",PT2H35M
Psycho,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,8.5,738841,"Horror, Mystery, Thriller",PT1H49M
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,1176574,"Animation, Adventure, Drama",PT1H28M
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,8.5,1457949,"Crime, Drama, Thriller",PT2H31M
Hotaru no haka,A young boy and his little sister struggle to survive in Japan during World War II.,8.5,331582,"Animation, Drama, War",PT1H28M
Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.,8.5,1035951,"Drama, Music",PT1H46M
Spider-Man: Across the Spider-Verse,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ...",8.6,421361,"Animation, Action, Adventure",PT2H20M
American History X,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...",8.5,1212367,"Crime, Drama",PT1H59M
The Prestige,Rival 19th-century magicians engage in a bitter battle for trade secrets.,8.5,1481701,"Drama, Mystery, Sci-Fi",PT2H10M
Léon,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin&apos;s trade.",8.5,1278847,"Action, Crime, Drama",PT1H50M
Seppuku,"When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity.",8.6,74862,"Drama, Mystery",PT2H13M
Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,8.5,620422,"Drama, Romance, War",PT1H42M
The Usual Suspects,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,8.5,1169583,"Crime, Drama, Mystery",PT1H46M
Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",8.5,956003,"Comedy, Drama",PT1H52M
Nuovo Cinema Paradiso,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater&apos;s film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",8.5,292770,"Drama, Romance",PT2H54M
Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible fu...",8.5,557509,"Action, Adventure, Drama",PT2H46M
Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,8.5,267018,"Comedy, Drama, Romance",PT1H27M
Alien,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",8.5,994146,"Horror, Sci-Fi",PT1H57M
Rear Window,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,8.5,536317,"Drama, Mystery, Thriller",PT1H52M
